DateTime,Open,High,Low,Close,Volume,RSI,MACD,MACD_signal,Bollinger_upper,Bollinger_lower,OBV,Tenkan_sen,Kijun_sen,Bullish_Engulfing,Bearish_Engulfing,Hammer,Shooting_Star,DateTime_norm,Range,Gap_Open,Close_vs_Previous_Close,Up_Down_Ratio,Trend_Direction_10,Trend_Direction_5,Price_Momentum,Range_Asymmetry,High_vs_PrevHigh,Low_vs_PrevLow,Volatility_Ratio,Volume_Spike,BB_Width,Bar_Type,Bar_Type_Code,DayOfWeek,DayOfWeek_sin,DayOfWeek_cos,DayOfMonth,D_PP,D_R1,D_S1,D_R2,D_S2,W_PP,W_R1,W_S1,W_R2,W_S2,M_PP,M_R1,M_S1,M_R2,M_S2,Body_Size,Is_Bullish,Is_Bearish,Trend_Strength,USD_GDP,USD_Inflation,USD_Unemployment,USD_InterestRate,JPY_GDP,JPY_Inflation,JPY_Unemployment,JPY_InterestRate
2009-04-29,96.54,97.97,96.49,97.59,484455,32.87499994246875,-78.03699781762532,-56.55583284359093,101.57032656366687,95.91667343633316,-420862.0,97.5025,,0,0,0,0,2009-04-29,1.480000000000004,0.0,0.010876320696084494,104999999999.99971,-1,-1,0.8749999999999858,28.59999942799336,1.2650000000000006,0.8649999999999949,1.4919354823670024,1.3305843936654418,0.02862797615679244,breakout_up,1,2,0.9749279121818236,-0.22252093395631434,29,96.29,96.95500000000001,95.87500000000001,97.37,95.21000000000001,98.61166666666666,99.57333333333332,96.79833333333333,101.38666666666666,95.83666666666667,,,,,,104.99999999999972,1,0,70.945898009528,14448.882,213.022,9.4,0.18,-0.04328808833049037,97.53118,5.433333,0.57
2009-04-30,97.6,98.99,97.14,98.89,508691,49.30991208402274,-63.256799610825,-57.89602619703774,101.3373102352041,95.97318976479589,87829.0,97.3075,,0,0,0,0,2009-04-30,1.8499999999999943,0.009999999999990905,0.013321036991495,129000000000.00061,-1,1,0.25,3.0217391238658267,1.019999999999996,0.6500000000000057,1.677243878805757,1.2277240292071683,0.027186188623280816,breakout_up,1,3,0.43388373911755823,-0.900968867902419,30,97.34999999999998,98.20999999999997,96.72999999999996,98.82999999999998,95.86999999999998,98.61166666666666,99.57333333333332,96.79833333333333,101.38666666666666,95.83666666666667,,,,,,129.00000000000063,1,0,69.72969203800486,14448.882,213.022,9.4,0.18,-0.04328808833049037,97.53118,5.433333,0.57
2009-05-01,98.89,99.57,98.725,99.075,370797,48.86075940708225,-49.48021355580039,-56.21286366879028,101.24404895529658,95.98645104470343,458626.0,97.5975,98.5325,0,0,0,0,2009-05-01,0.8449999999999989,0.0,0.0018707654970169104,18500000000.000225,1,1,-1.1149999999999949,4.121212096234877,0.5799999999999983,1.5849999999999937,0.6931911397102607,0.8971742412126156,0.026657124078374526,breakout_up,1,4,-0.433883739117558,-0.9009688679024191,1,98.33999999999999,99.53999999999998,97.68999999999998,100.18999999999998,96.49,98.61166666666666,99.57333333333332,96.79833333333333,101.38666666666666,95.83666666666667,,,,,,18.500000000000227,1,0,21.893465214834364,14448.882,213.022,9.4,0.18,-0.04328808833049037,97.53118,5.433333,0.57
2009-05-04,99.35,99.56,98.72,98.84,291666,46.02272719137399,-39.99735879980335,-52.969762694992895,100.98424849042821,96.0682515095718,166960.0,97.5975,98.5325,0,1,0,0,2009-05-04,0.8400000000000034,0.2749999999999915,-0.002371940449154675,0.0,1,1,-0.4200000000000017,0.3333333328042479,-0.009999999999990905,-0.0049999999999954525,0.6890894169900853,0.7319317018329267,0.024947650909308543,breakout_down,2,0,0.0,1.0,4,98.33999999999999,99.53999999999998,97.68999999999998,100.18999999999998,96.49,97.18166666666667,98.09333333333335,95.45333333333335,99.82166666666667,94.54166666666667,,,,,,50.99999999999909,0,1,60.714213435458866,14448.882,213.022,9.4,0.18,-0.04328808833049037,97.53118,5.433333,0.57
2009-05-05,98.835,99.21,98.605,98.75,450970,47.491856590894294,-32.82991010151761,-48.94179217629784,100.7799379764671,96.12456202353292,-284010.0,97.5975,98.5325,0,0,0,0,2009-05-05,0.6049999999999898,-0.005000000000009663,-0.0009105625252934379,0.0,1,1,0.14499999999999602,1.6304347755199213,-0.3500000000000085,-0.11499999999999488,0.5382562272791233,1.1204610544314422,0.02364281137753022,neutral,0,1,0.7818314824680298,0.6234898018587336,5,99.04,99.36000000000001,98.52000000000001,99.88000000000001,98.2,97.18166666666667,98.09333333333335,95.45333333333335,99.82166666666667,94.54166666666667,,,,,,8.499999999999375,0,1,14.04956355443961,14448.882,213.022,9.4,0.18,-0.04328808833049037,97.53118,5.433333,0.57
2009-05-06,98.75,99.08,97.935,98.65,417960,45.65789465273547,-27.637978385180872,-44.681029418074445,100.50594454552133,96.22255545447867,-701970.0,97.5975,98.5325,0,0,0,0,2009-05-06,1.144999999999996,0.0,-0.0010126582278480436,0.0,1,1,-0.009999999999990905,0.40490797496330216,-0.12999999999999545,-0.6700000000000017,1.0832544928256815,1.0397113206542723,0.021773098920589075,breakout_down,2,2,0.9749279121818236,-0.22252093395631434,6,98.855,99.105,98.50000000000001,99.46,98.25000000000001,97.18166666666667,98.09333333333335,95.45333333333335,99.82166666666667,94.54166666666667,,,,,,9.999999999999432,0,1,8.733616826535057,14448.882,213.022,9.4,0.18,-0.04328808833049037,97.53118,5.433333,0.57
2009-05-07,98.65,99.75,98.4,99.17,463592,60.73059347789522,-19.107114751182053,-39.56624648469597,100.28004376888907,96.33245623111094,-238378.0,97.6875,98.245,0,0,0,0,2009-05-07,1.3499999999999943,0.0,0.00527116066903189,51999999999.999596,1,1,0.6199999999999903,4.399999982399977,0.6700000000000017,0.4650000000000034,1.4106583057359885,1.1465343694199437,0.020078008965543744,breakout_up,1,3,0.43388373911755823,-0.900968867902419,7,98.55499999999999,99.17499999999998,98.02999999999999,99.69999999999999,97.41,97.18166666666667,98.09333333333335,95.45333333333335,99.82166666666667,94.54166666666667,,,,,,51.9999999999996,1,0,38.518489986303585,14448.882,213.022,9.4,0.18,-0.04328808833049037,97.53118,5.433333,0.57
2009-05-08,99.165,99.57,98.305,98.45,376439,49.46401214510018,-17.949234527949898,-35.242844093346754,100.2270066430962,96.3304933569038,-614817.0,97.6875,98.245,0,0,0,0,2009-05-08,1.2649999999999864,-0.0049999999999954525,-0.0072602601593223645,0.0,1,-1,-1.2399999999999949,0.47093023201053136,-0.18000000000000682,-0.09499999999999886,1.2151777125694678,0.8550758051564977,0.01982378330082924,breakout_down,2,4,-0.433883739117558,-0.9009688679024191,8,99.10666666666667,99.81333333333333,98.46333333333334,100.45666666666666,97.75666666666667,97.18166666666667,98.09333333333335,95.45333333333335,99.82166666666667,94.54166666666667,,,,,,71.50000000000034,0,1,56.521694449254284,14448.882,213.022,9.4,0.18,-0.04328808833049037,97.53118,5.433333,0.57
2009-05-10,98.63,98.825,98.54,98.725,23471,55.28391154984615,-14.643781537918699,-31.123031582261145,100.15856216033252,96.34593783966749,-591346.0,98.12,98.175,0,0,0,0,2009-05-10,0.2849999999999966,0.1799999999999926,0.002793296089385388,9499999999.999886,1,-1,0.9949999999999903,2.166666642592935,-0.7449999999999903,0.23499999999999943,0.30645161257370673,0.06004290569700254,0.019402223972612466,breakout_up,1,6,-0.7818314824680299,0.6234898018587334,10,99.10666666666667,99.81333333333333,98.46333333333334,100.45666666666666,97.75666666666667,97.18166666666667,98.09333333333335,95.45333333333335,99.82166666666667,94.54166666666667,,,,,,9.499999999999886,1,0,33.33321637467939,14448.882,213.022,9.4,0.18,-0.04328808833049037,97.53118,5.433333,0.57
2009-05-11,98.725,98.795,97.255,97.595,626278,48.17869406536058,-20.90140347977183,-29.078705961763283,99.99582671936275,96.32117328063725,-1217624.0,98.445,98.175,0,0,0,0,2009-05-11,1.5400000000000063,0.0,-0.01144593567991892,0.0,1,-1,-1.404999999999987,0.04761904758665877,-0.030000000000001137,-1.2850000000000108,1.3786929262500616,1.5601101955275563,0.01871795839732708,breakout_down,2,0,0.0,1.0,11,98.69666666666667,98.85333333333334,98.56833333333334,98.98166666666667,98.41166666666668,98.01166666666666,100.39833333333331,96.45333333333332,101.95666666666665,94.06666666666666,,,,,,112.99999999999955,0,1,73.37657572949568,14448.882,213.022,9.4,0.18,-0.04328808833049037,97.53118,5.433333,0.57
