DateTime,Open,High,Low,Close,Volume,RSI,MACD,MACD_signal,Bollinger_upper,Bollinger_lower,OBV,Tenkan_sen,Kijun_sen,Bullish_Engulfing,Bearish_Engulfing,Hammer,Shooting_Star,DateTime_norm,Range,Gap_Open,Close_vs_Previous_Close,Up_Down_Ratio,Trend_Direction_10,Trend_Direction_5,Price_Momentum,Range_Asymmetry,High_vs_PrevHigh,Low_vs_PrevLow,Volatility_Ratio,Volume_Spike,BB_Width,Bar_Type,Bar_Type_Code,DayOfWeek,DayOfWeek_sin,DayOfWeek_cos,DayOfMonth,D_PP,D_R1,D_S1,D_R2,D_S2,W_PP,W_R1,W_S1,W_R2,W_S2,M_PP,M_R1,M_S1,M_R2,M_S2,Body_Size,Is_Bullish,Is_Bearish,Trend_Strength,EUR_GDP,EUR_Inflation,EUR_Unemployment,EUR_InterestRate,GBP_GDP,GBP_Inflation,GBP_Unemployment,GBP_InterestRate
2021-10-18,0.84267,0.84636,0.84247,0.84544,65419,23.586411943469884,-0.28927989036573454,-0.20465428686173534,0.8634810616285129,0.8403139383714873,-7908897.0,0.846935,0.85394,0,0,0,0,2021-10-18,0.003889999999999949,0.0,0.003287170541255698,276999999.9999939,-1,-1,0.0041199999999999015,18.449907750463137,0.0029000000000000137,0.00041000000000002146,1.1184585628353674,1.237751428014606,0.01359736542825331,breakout_up,1,0,0.0,1.0,18,0.8447566666666667,0.8470433333333334,0.8431533333333334,0.8486466666666667,0.8408666666666668,0.8464366666666666,0.8508133333333332,0.8410633333333333,0.8561866666666665,0.8366866666666667,0.8583666666666666,0.8667033333333333,0.8509133333333332,0.8741566666666667,0.8425766666666665,0.2769999999999939,1,0,71.18992546903047,0.528188339866122,109.41,7.3,-0.570412857142857,432422.1,113.4,4.2,0.16
2021-10-19,0.84544,0.84631,0.84209,0.84329,63091,21.062787687003606,-0.3067617107089804,-0.22507577163118436,0.8630501401246643,0.8393158598753357,-7971988.0,0.846935,0.85394,0,0,0,0,2021-10-19,0.0042200000000000015,0.0,-0.002543054504163495,0.0,-1,-1,-0.0049199999999999244,0.25970141501451693,-4.999999999999449e-05,-0.00038000000000004697,1.1041336723878434,1.2112758800761578,0.013941937410312848,breakout_down,2,1,0.7818314824680298,0.6234898018587336,19,0.8438966666666667,0.8457033333333335,0.8414833333333335,0.8481166666666667,0.8396766666666667,0.8464366666666666,0.8508133333333332,0.8410633333333333,0.8561866666666665,0.8366866666666667,0.8583666666666666,0.8667033333333333,0.8509133333333332,0.8741566666666667,0.8425766666666665,0.21499999999999853,0,1,50.93579720445355,0.528188339866122,109.41,7.3,-0.570412857142857,432422.1,113.4,4.2,0.16
2021-10-20,0.84327,0.84606,0.84219,0.84299,63194,22.474210585621293,-0.3193555960410488,-0.24393173651315725,0.8630034434969458,0.8383015565030543,-8035182.0,0.846935,0.85394,0,0,0,0,2021-10-20,0.00387000000000004,-2.0000000000020002e-05,-0.00035574950491523314,0.0,-1,-1,0.0018500000000000183,2.583330941360377,-0.00024999999999997247,9.999999999998899e-05,0.9832314575123471,1.2236938925680412,0.014519375987758106,breakout_up,1,2,0.9749279121818236,-0.22252093395631434,20,0.8437466666666666,0.8453033333333333,0.8414333333333333,0.8476166666666667,0.8398766666666666,0.8464366666666666,0.8508133333333332,0.8410633333333333,0.8561866666666665,0.8366866666666667,0.8583666666666666,0.8667033333333333,0.8509133333333332,0.8741566666666667,0.8425766666666665,0.027999999999994696,0,1,7.2332730560564205,0.528188339866122,109.41,7.3,-0.570412857142857,432422.1,113.4,4.2,0.16
2021-10-21,0.84298,0.84434,0.84219,0.84288,65050,26.029828989993618,-0.3264607130842312,-0.26043753182737206,0.8610150211990104,0.8382829788009896,-8100232.0,0.846935,0.85394,0,0,0,0,2021-10-21,0.0021499999999999853,-1.0000000000065512e-05,-0.0001304879061436725,0.0,-1,-1,0.00018999999999991246,1.7215168082066998,-0.0017200000000000548,0.0,0.6922084055993526,1.1236731415344292,0.013377313673803088,breakout_up,1,3,0.43388373911755823,-0.900968867902419,21,0.8431366666666666,0.8440833333333333,0.8419333333333333,0.8452866666666666,0.8409866666666667,0.8464366666666666,0.8508133333333332,0.8410633333333333,0.8561866666666665,0.8366866666666667,0.8583666666666666,0.8667033333333333,0.8509133333333332,0.8741566666666667,0.8425766666666665,0.009999999999998899,0,1,4.649000464899566,0.528188339866122,109.41,7.3,-0.570412857142857,432422.1,113.4,4.2,0.16
2021-10-22,0.84287,0.84687,0.8421,0.84592,78132,38.96784910216499,-0.3040563379689498,-0.2691612930556876,0.857981603385818,0.8395083966141818,-8022100.0,0.8459099999999999,0.85394,1,0,0,0,2021-10-22,0.004770000000000052,-9.99999999995449e-06,0.003606681852695571,304999999.9999997,-1,1,0.003150000000000097,5.1947984483133816,0.0025300000000000322,-9.00000000000345e-05,1.2619044280676235,1.3017552336284886,0.010882660133415135,breakout_up,1,4,-0.433883739117558,-0.9009688679024191,22,0.8449633333333333,0.8478266666666666,0.8430566666666666,0.8497333333333333,0.8401933333333332,0.8464366666666666,0.8508133333333332,0.8410633333333333,0.8561866666666665,0.8366866666666667,0.8583666666666666,0.8667033333333333,0.8509133333333332,0.8741566666666667,0.8425766666666665,0.3049999999999997,1,0,63.927897715362896,0.528188339866122,109.41,7.3,-0.570412857142857,432422.1,113.4,4.2,0.16
2021-10-24,0.84588,0.84663,0.84531,0.84571,2122,41.64318609990966,-0.284713236804901,-0.2722716818055303,0.8559478226002992,0.8401881773997006,-8024222.0,0.8453900000000001,0.85394,0,0,0,0,2021-10-24,0.0013199999999999878,-4.0000000000040004e-05,-0.0002482504255722095,0.0,-1,1,-0.003250000000000086,1.3157871652858184,-0.00024000000000001798,0.003210000000000046,0.40416399137660475,0.03947708673238667,0.009291498548474704,neutral,0,6,-0.7818314824680299,0.6234898018587334,24,0.8458833333333334,0.8464566666666669,0.8451366666666669,0.8472033333333334,0.8445633333333334,0.8464366666666666,0.8508133333333332,0.8410633333333333,0.8561866666666665,0.8366866666666667,0.8583666666666666,0.8667033333333333,0.8509133333333332,0.8741566666666667,0.8425766666666665,0.017000000000000348,0,1,12.869038607116204,0.528188339866122,109.41,7.3,-0.570412857142857,432422.1,113.4,4.2,0.16
2021-10-25,0.8457,0.84654,0.84268,0.8434,65225,33.751281477641584,-0.2847411406016853,-0.2747655735647613,0.854847182590305,0.8401038174096951,-8089447.0,0.84535,0.85394,0,0,0,0,2021-10-25,0.0038599999999999746,-9.99999999995449e-06,-0.002731432760638899,0.0,-1,1,-0.0020999999999998797,0.2781456032630273,-9.00000000000345e-05,-0.002630000000000021,1.2085155890683708,1.231931823976798,0.008698401996997566,breakout_down,2,0,0.0,1.0,25,0.8442066666666667,0.8457333333333333,0.8418733333333334,0.8480666666666666,0.8403466666666667,0.8441200000000001,0.8461500000000002,0.8413700000000002,0.8489000000000001,0.8393400000000001,0.8583666666666666,0.8667033333333333,0.8509133333333332,0.8741566666666667,0.8425766666666665,0.22999999999999687,0,1,59.57005957005915,0.528188339866122,109.41,7.3,-0.570412857142857,432422.1,113.4,4.2,0.16
2021-10-26,0.84339,0.84342,0.84022,0.84239,69071,32.478609617871555,-0.28957506932449917,-0.27772747271670883,0.8535582956711719,0.8401047043288282,-8158518.0,0.843545,0.85302,0,0,1,0,2021-10-26,0.0031999999999999806,-1.0000000000065512e-05,-0.0011975337917951936,0.0,-1,-1,0.0012999999999998568,0.00946371941206783,-0.0031200000000000117,-0.0024600000000000177,1.045751292238135,1.2839525909181926,0.007943487769678325,breakout_down,2,1,0.7818314824680298,0.6234898018587336,26,0.84201,0.8438000000000001,0.8406000000000001,0.84521,0.8388100000000001,0.8441200000000001,0.8461500000000002,0.8413700000000002,0.8489000000000001,0.8393400000000001,0.8583666666666666,0.8667033333333333,0.8509133333333332,0.8741566666666667,0.8425766666666665,0.10000000000000009,0,1,31.24023742580465,0.528188339866122,109.41,7.3,-0.570412857142857,432422.1,113.4,4.2,0.16
2021-10-27,0.84237,0.84644,0.84201,0.84457,92251,37.30156292148089,-0.27267202123753,-0.27671638242087304,0.8523438718980914,0.8404091281019088,-8066267.0,0.843545,0.85302,1,0,0,0,2021-10-27,0.004429999999999934,-2.0000000000020002e-05,0.0025878749747742387,220000000.00000906,1,1,0.003190000000000137,11.30552415132449,0.0030200000000000227,0.0017900000000000693,1.259954135394146,1.6206221716277087,0.007050493357318881,breakout_up,1,2,0.9749279121818236,-0.22252093395631434,27,0.84434,0.8466699999999999,0.84224,0.8487699999999999,0.83991,0.8441200000000001,0.8461500000000002,0.8413700000000002,0.8489000000000001,0.8393400000000001,0.8583666666666666,0.8667033333333333,0.8509133333333332,0.8741566666666667,0.8425766666666665,0.22000000000000908,1,0,49.6501918302894,0.528188339866122,109.41,7.3,-0.570412857142857,432422.1,113.4,4.2,0.16
2021-10-28,0.84458,0.84755,0.84224,0.84659,109624,44.15524401528811,-0.2402075588191166,-0.2694146177005218,0.8517368616700677,0.8405841383299325,-7956643.0,0.843885,0.85302,0,0,0,0,2021-10-28,0.005310000000000037,9.99999999995449e-06,0.002391749647749637,200999999.99999562,1,1,-0.00016000000000016001,1.2692302268246967,0.0011100000000000554,0.00022999999999995246,1.4652313837661917,1.62845246212372,0.006590193779403994,neutral,0,3,0.43388373911755823,-0.900968867902419,28,0.84546,0.84868,0.84337,0.85077,0.84015,0.8441200000000001,0.8461500000000002,0.8413700000000002,0.8489000000000001,0.8393400000000001,0.8583666666666666,0.8667033333333333,0.8509133333333332,0.8741566666666667,0.8425766666666665,0.20099999999999563,1,0,37.84598004142237,0.528188339866122,109.41,7.3,-0.570412857142857,432422.1,113.4,4.2,0.16
